Date,Open,High,Low,Close,Adj Close,Volume
9/15/15,196.610001,198.990005,195.960007,198.449997,184.141388,108455800
9/14/15,196.949997,197.009995,195.429993,195.979996,181.849472,79452000
9/11/15,195.380005,196.820007,194.529999,196.740005,182.554703,119691200
9/10/15,194.559998,197.220001,194.25,195.850006,181.728851,158611100
9/9/15,199.320007,199.470001,194.350006,194.759995,180.717438,140901400
9/8/15,195.940002,197.610001,195.169998,197.460007,183.222778,116025700
9/4/15,192.850006,193.860001,191.610001,192.589996,178.703903,207081000
9/3/15,196.259995,198.050003,194.960007,195.649994,181.543274,152087800
9/2/15,194.619995,195.460007,192.419998,195.410004,181.320587,160269300
9/1/15,193.119995,194.770004,190.729996,191.770004,177.943024,256000400
8/31/15,198.110001,199.130005,197.009995,197.539993,183.296997,154471400
8/28/15,198.5,199.839996,197.919998,199.240005,184.87442,160414400
8/27/15,197.020004,199.419998,195.210007,199.160004,184.800201,274143900
8/26/15,192.080002,194.789993,188.369995,194.679993,180.643188,339257000
8/25/15,195.429993,195.449997,186.919998,187.229996,173.730392,369833100
8/24/15,197.630005,197.630005,182.399994,189.550003,175.883118,507244300
8/21/15,201.729996,203.940002,197.520004,197.630005,183.380508,346588500
8/20/15,206.509995,208.289993,203.899994,204.009995,189.300507,194327900
8/19/15,209.089996,210.009995,207.350006,208.279999,193.262634,172946000
8/18/15,210.259995,210.679993,209.699997,209.929993,194.793686,71692700
8/17/15,208.710007,210.589996,208.160004,210.559998,195.378235,79072600
8/14/15,208.429993,209.509995,208.259995,209.360001,194.264786,69387000
8/13/15,208.729996,209.550003,208.009995,208.699997,193.652359,89383300
8/12/15,207.110001,209.139999,205.360001,208.919998,193.856445,172123700
8/11/15,208.970001,209.470001,207.759995,208.660004,193.615204,117481700
8/10/15,209.279999,210.669998,209.279999,210.630005,195.443222,80270700
8/7/15,208.160004,208.339996,206.869995,207.919998,192.928589,117858000
8/6/15,210.289993,210.419998,207.649994,208.350006,193.327576,116030800
8/5/15,210.449997,211.309998,209.729996,210.100006,194.951416,85786800
8/4/15,209.699997,210.25,208.800003,209.320007,194.2276,81820800
8/3/15,210.460007,210.529999,208.649994,209.729996,194.608093,113965700
7/31/15,211.419998,211.449997,210.160004,210.449997,195.276169,103266900
7/30/15,210.160004,211.020004,209.419998,210.820007,195.619522,91304400
7/29/15,209.479996,211.039993,209.309998,210.770004,195.573105,105791300
7/28/15,207.789993,209.5,206.800003,209.309998,194.218353,123544800
7/27/15,208,208,206.259995,206.740005,191.833664,132361100
7/24/15,210.300003,210.369995,207.600006,207.940002,192.947144,117755000
7/23/15,211.529999,211.649994,209.75,210.139999,194.988495,90509100
7/22/15,210.929993,211.770004,210.889999,211.289993,196.055603,88667900
7/21/15,212.429993,212.740005,211.389999,211.759995,196.49173,77965000
7/20/15,212.75,213.179993,212.210007,212.619995,197.289703,65523100
7/17/15,212.289993,212.550003,211.800003,212.470001,197.150528,89030000
7/16/15,211.869995,212.300003,211.580002,212.270004,196.964966,106683300
7/15/15,210.729996,211.279999,210.039993,210.630005,195.443222,97914100
7/14/15,209.720001,211.050003,209.649994,210.720001,195.526703,81709600
7/13/15,208.990005,209.899994,208.940002,209.759995,194.63591,106069400
7/10/15,207.289993,207.979996,204.949997,207.479996,192.520294,129456900
7/9/15,207.039993,207.350006,204.770004,204.800003,190.033524,144113100
